admin0,admin1,date,cases,deaths
Ecuador,Napo,8/5/2020,947,49
Ecuador,Orellana,8/5/2020,1352,34
Ecuador,Pastaza,8/5/2020,1441,44
Ecuador,Pichincha,8/5/2020,15542,746
Ecuador,Santa Elena,8/5/2020,1159,331
Ecuador,Sto. Domingo Tsachilas,8/5/2020,3795,257
Ecuador,Sucumbios,8/5/2020,1361,57
Ecuador,Tungurahua,8/5/2020,2235,172
Ecuador,Zamora Chinchipe,8/5/2020,1005,38
Ecuador,Azuay,5/6/2020,519,18
Ecuador,Bolivar,5/6/2020,163,14
Ecuador,Canar,5/6/2020,272,10
Ecuador,Carchi,5/6/2020,83,7
Ecuador,Chimborazo,5/6/2020,222,54
Ecuador,Cotopaxi,5/6/2020,145,26
Ecuador,El Oro,5/6/2020,628,109
Ecuador,Esmeraldas,5/6/2020,265,30
Ecuador,Galapagos,5/6/2020,70,1
Ecuador,Guayas,5/6/2020,12411,720
Ecuador,Imbabura,5/6/2020,104,10
Ecuador,Loja,5/6/2020,209,12
Ecuador,Los Rios,5/6/2020,991,59
Ecuador,Manabi,5/6/2020,1046,209
Ecuador,Morona Santiago,5/6/2020,37,1
Ecuador,Napo,5/6/2020,40,3
Ecuador,Orellana,5/6/2020,48,1
Ecuador,Pastaza,5/6/2020,76,3
Ecuador,Pichincha,5/6/2020,1913,93
Ecuador,Santa Elena,5/6/2020,579,166
Ecuador,Sto. Domingo Tsachilas,5/6/2020,331,36
Ecuador,Sucumbios,5/6/2020,42,2
Ecuador,Tungurahua,5/6/2020,228,32
Ecuador,Zamora Chinchipe,5/6/2020,61,2
Ecuador,Azuay,6/6/2020,1015,36
Ecuador,Bolivar,6/6/2020,358,29
Ecuador,Canar,6/6/2020,371,32
Ecuador,Carchi,6/6/2020,174,12
Ecuador,Chimborazo,6/6/2020,475,117
Ecuador,Cotopaxi,6/6/2020,558,60
Ecuador,El Oro,6/6/2020,1305,194
Ecuador,Esmeraldas,6/6/2020,1123,95
Ecuador,Galapagos,6/6/2020,76,1
Ecuador,Guayas,6/6/2020,14362,1468
Ecuador,Imbabura,6/6/2020,239,14
Ecuador,Loja,6/6/2020,483,28
Ecuador,Los Rios,6/6/2020,1765,214
Ecuador,Manabi,6/6/2020,2821,486
Ecuador,Morona Santiago,6/6/2020,179,6
Ecuador,Napo,6/6/2020,311,21
Ecuador,Orellana,6/6/2020,322,7
Ecuador,Pastaza,6/6/2020,317,6
Ecuador,Pichincha,6/6/2020,4478,326
Ecuador,Santa Elena,6/6/2020,824,286
Ecuador,Sto. Domingo Tsachilas,6/6/2020,1179,81
Ecuador,Sucumbios,6/6/2020,165,7
Ecuador,Tungurahua,6/6/2020,595,77
Ecuador,Zamora Chinchipe,6/6/2020,277,5
Ecuador,Azuay,7/6/2020,1993,66
Ecuador,Bolivar,7/6/2020,759,41
Ecuador,Canar,7/6/2020,560,45
Ecuador,Carchi,7/6/2020,365,18
Ecuador,Chimborazo,7/6/2020,848,160
Ecuador,Cotopaxi,7/6/2020,1236,130
Ecuador,El Oro,7/6/2020,2189,277
Ecuador,Esmeraldas,7/6/2020,2228,149
Ecuador,Galapagos,7/6/2020,100,1
Ecuador,Guayas,7/6/2020,16129,1624
Ecuador,Imbabura,7/6/2020,716,44
Ecuador,Loja,7/6/2020,1095,47
Ecuador,Los Rios,7/6/2020,2429,277
Ecuador,Manabi,7/6/2020,4720,639
Ecuador,Morona Santiago,7/6/2020,1009,12
Ecuador,Napo,7/6/2020,656,37
Ecuador,Orellana,7/6/2020,838,24
Ecuador,Pastaza,7/6/2020,837,29
Ecuador,Pichincha,7/6/2020,8994,556
Ecuador,Santa Elena,7/6/2020,962,326
Ecuador,Sto. Domingo Tsachilas,7/6/2020,2344,155
Ecuador,Sucumbios,7/6/2020,521,21
Ecuador,Tungurahua,7/6/2020,1259,122
Ecuador,Zamora Chinchipe,7/6/2020,637,21
Ecuador,Azuay,8/6/2020,3792,93
Ecuador,Bolivar,8/6/2020,1166,53
Ecuador,Canar,8/6/2020,853,56
Ecuador,Carchi,8/6/2020,1064,30
Ecuador,Chimborazo,8/6/2020,1576,225
Ecuador,Cotopaxi,8/6/2020,2273,170
Ecuador,El Oro,8/6/2020,3357,336
Ecuador,Esmeraldas,8/6/2020,3264,190
Ecuador,Galapagos,8/6/2020,104,1
Ecuador,Guayas,8/6/2020,17776,1664
Ecuador,Imbabura,8/6/2020,1617,76
Ecuador,Loja,8/6/2020,2863,104
Ecuador,Los Rios,8/6/2020,2917,318
Ecuador,Manabi,8/6/2020,6901,812
Ecuador,Morona Santiago,8/6/2020,2124,14
Ecuador,Napo,8/6/2020,950,49
Ecuador,Orellana,8/6/2020,1369,34
Ecuador,Pastaza,8/6/2020,1494,44
Ecuador,Pichincha,8/6/2020,16485,753
Ecuador,Santa Elena,8/6/2020,1161,331
Ecuador,Sto. Domingo Tsachilas,8/6/2020,3799,257
Ecuador,Sucumbios,8/6/2020,1412,57
Ecuador,Tungurahua,8/6/2020,2254,172
Ecuador,Zamora Chinchipe,8/6/2020,1014,38
Ecuador,Azuay,5/7/2020,561,22
Ecuador,Bolivar,5/7/2020,197,14
Ecuador,Canar,5/7/2020,349,13
Ecuador,Carchi,5/7/2020,84,8
Ecuador,Chimborazo,5/7/2020,229,54
Ecuador,Cotopaxi,5/7/2020,148,26
Ecuador,El Oro,5/7/2020,673,110
Ecuador,Esmeraldas,5/7/2020,290,34
Ecuador,Galapagos,5/7/2020,70,1
Ecuador,Guayas,5/7/2020,12577,726
Ecuador,Imbabura,5/7/2020,108,11
Ecuador,Loja,5/7/2020,274,12
Ecuador,Los Rios,5/7/2020,1049,59
Ecuador,Manabi,5/7/2020,1263,219
Ecuador,Morona Santiago,5/7/2020,71,1
Ecuador,Napo,5/7/2020,40,3
Ecuador,Orellana,5/7/2020,48,1
Ecuador,Pastaza,5/7/2020,80,3
Ecuador,Pichincha,5/7/2020,1956,93
Ecuador,Santa Elena,5/7/2020,608,171
Ecuador,Sto. Domingo Tsachilas,5/7/2020,332,37
Ecuador,Sucumbios,5/7/2020,42,2
Ecuador,Tungurahua,5/7/2020,234,32
Ecuador,Zamora Chinchipe,5/7/2020,78,2
Ecuador,Azuay,6/7/2020,1030,36
Ecuador,Bolivar,6/7/2020,367,29
Ecuador,Canar,6/7/2020,371,33
